participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic
5,bl_filler_2,1,3.63,1,bimodal,,questionable,filler,ball,,,,,,,5
5,bl_filler_3,5,1.8,1,bimodal,,acceptable,filler,ball,,,,,,,5
5,bl_filler_4,4,4.025,1,bimodal,,acceptable,filler,ball,,,,,,,5
5,bl_filler_5,5,3.612,1,bimodal,,acceptable,filler,ball,,,,,,,5
5,bl_filler_6,1,1.962,1,bimodal,,unacceptable,filler,ball,,,,,,,5
5,bl_filler_7,1,2.459,1,bimodal,,questionable,filler,ball,,,,,,,5
5,bl_filler_8,1,2.669,1,bimodal,,questionable,filler,ball,,,,,,,5
5,bl_filler_9,1,2.097,1,bimodal,,unacceptable,filler,ball,,,,,,,5
5,bl_filler_10,4,1.749,1,bimodal,,acceptable,filler,ball,,,,,,,5
5,sp_filler_1,3,2.701,1,unimodal,,questionable,filler,spring,,,,,,,3
5,sp_filler_2,5,2.666,1,unimodal,,acceptable,filler,spring,,,,,,,3
5,sp_filler_3,5,5.249,1,unimodal,,acceptable,filler,spring,,,,,,,3
5,sp_filler_4,5,3.921,1,unimodal,,questionable,filler,spring,,,,,,,3
5,sp_filler_5,1,3.074,1,unimodal,,questionable,filler,spring,,,,,,,3
5,sp_filler_6,4,5.006,1,unimodal,,acceptable,filler,spring,,,,,,,3
5,sp_filler_7,1,2.744,1,unimodal,,questionable,filler,spring,,,,,,,3
5,sp_filler_8,1,2.272,1,unimodal,,unacceptable,filler,spring,,,,,,,3
5,sp_filler_9,5,3.908,1,unimodal,,acceptable,filler,spring,,,,,,,3
5,sp_filler_10,1,2.799,1,unimodal,,unacceptable,filler,spring,,,,,,,3
6,bl_test_1,5,1.969,1,bimodal,big expensive,,test,ball,big,expensive,scalar,first,,,5
6,bl_test_2,5,1.187,1,bimodal,expensive big,,test,ball,big,expensive,scalar,second,,,5
6,bl_test_3,5,1.4,1,bimodal,striped big,,test,ball,big,striped,absolute,second,,,5
6,bl_test_4,5,1.552,1,bimodal,big striped,,test,ball,big,striped,absolute,first,,,5
6,bl_test_5,5,2.562,1,bimodal,big cheap,,test,ball,big,cheap,scalar,first,,,5
6,bl_test_6,2,2.356,1,bimodal,cheap big,,test,ball,big,cheap,scalar,second,,,5
6,bl_test_7,5,1.381,1,bimodal,big plastic,,test,ball,big,plastic,absolute,first,,,5
6,bl_test_8,5,1.842,1,bimodal,plastic big,,test,ball,big,plastic,absolute,second,,,5
6,sp_test_1,5,1.321,1,unimodal,long expensive,,test,spring,long,expensive,scalar,first,,,4
6,sp_test_2,5,3.037,1,unimodal,expensive long,,test,spring,long,expensive,scalar,second,,,4
6,sp_test_3,5,1.477,1,unimodal,plastic long,,test,spring,long,plastic,absolute,second,,,4
6,sp_test_4,5,3.35,1,unimodal,long plastic,,test,spring,long,plastic,absolute,first,,,4
6,sp_test_5,5,1.556,1,unimodal,cheap long,,test,spring,long,cheap,scalar,second,,,4
6,sp_test_6,5,1.294,1,unimodal,long cheap,,test,spring,long,cheap,scalar,first,,,4
6,sp_test_7,5,1.51,1,unimodal,metal long,,test,spring,long,metal,absolute,second,,,4
6,sp_test_8,5,2.46,1,unimodal,long metal,,test,spring,long,metal,absolute,first,,,4
6,bl_filler_1,3,5.707,1,bimodal,,questionable,filler,ball,,,,,,,5
