experiment,participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic,disagreement_on_adj_target,disagreement_on_adj_secondary
1,103,ch_filler_3,4,6.301,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,103,ch_filler_4,3,2.182,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,103,ch_filler_5,2,2.776,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,103,ch_filler_6,4,1.889,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,103,ch_filler_7,1,1.753,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,103,ch_filler_8,1,2.826,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,103,ch_filler_9,4,3.287,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,103,ch_filler_10,1,2.999,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,104,tv_test_1,5,3.348,2,unimodal,big expensive,,test,tv,big,expensive,scalar,first,,,,,
1,104,tv_test_2,5,4.769,2,unimodal,expensive big,,test,tv,big,expensive,scalar,second,,,,,
1,104,tv_test_3,5,7.504,2,unimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,,,
1,104,tv_test_4,5,7.652,2,unimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,,,
1,104,tv_test_5,5,3.606,2,unimodal,big cheap,,test,tv,big,cheap,scalar,first,,,,,
1,104,tv_test_6,5,4.537,2,unimodal,cheap big,,test,tv,big,cheap,scalar,second,,,,,
1,104,tv_test_7,5,3.177,2,unimodal,big discounted,,test,tv,big,discounted,absolute,first,,,,,
1,104,tv_test_8,5,5.622,2,unimodal,discounted big,,test,tv,big,discounted,absolute,second,,,,,
1,104,ch_test_1,5,6.204,2,bimodal,long expensive,,test,couch,long,expensive,scalar,first,,,,,
1,104,ch_test_2,5,4.874,2,bimodal,expensive long,,test,couch,long,expensive,scalar,second,,,,,
1,104,ch_test_3,5,2.608,2,bimodal,leather long,,test,couch,long,leather,absolute,second,,,,,
1,104,ch_test_4,5,3.892,2,bimodal,long leather,,test,couch,long,leather,absolute,first,,,,,
1,104,ch_test_5,5,3.763,2,bimodal,cheap long,,test,couch,long,cheap,scalar,second,,,,,
1,104,ch_test_6,5,2.907,2,bimodal,long cheap,,test,couch,long,cheap,scalar,first,,,,,
1,104,ch_test_7,5,8.182,2,bimodal,discounted long,,test,couch,long,discounted,absolute,second,,,,,
1,104,ch_test_8,5,3.225,2,bimodal,long discounted,,test,couch,long,discounted,absolute,first,,,,,
1,104,tv_filler_1,4,5.805,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,104,tv_filler_2,1,3.434,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,104,tv_filler_3,5,3.718,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,104,tv_filler_4,5,2.449,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,104,tv_filler_5,5,3.507,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,104,tv_filler_6,1,2.636,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,104,tv_filler_7,1,2.098,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
