participant,id,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,group,condition,response,time
6,ch_filler_3,,acceptable,filler,couch,,,,,2,bimodal,5,3.517
6,ch_filler_4,,questionable,filler,couch,,,,,2,bimodal,5,3.365
6,ch_filler_5,,questionable,filler,couch,,,,,2,bimodal,2,6.783
6,ch_filler_6,,acceptable,filler,couch,,,,,2,bimodal,5,2.863
6,ch_filler_7,,unacceptable,filler,couch,,,,,2,bimodal,1,2.007
6,ch_filler_8,,unacceptable,filler,couch,,,,,2,bimodal,1,2.558
6,ch_filler_9,,acceptable,filler,couch,,,,,2,bimodal,4,5.753
6,ch_filler_10,,unacceptable,filler,couch,,,,,2,bimodal,1,4.047
7,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,1,bimodal,4,2.854
7,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,1,bimodal,5,3.377
7,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,1,bimodal,4,3.01
7,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,1,bimodal,5,3.232
7,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,1,bimodal,4,4.657
7,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,1,bimodal,5,2.525
7,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,1,bimodal,5,2.729
7,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,1,bimodal,4,3.823
7,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,1,unimodal,5,1.75
7,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,1,unimodal,4,2.413
7,ch_test_3,leather long,,test,couch,long,leather,absolute,second,1,unimodal,4,2.024
7,ch_test_4,long leather,,test,couch,long,leather,absolute,first,1,unimodal,5,6.727
7,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,1,unimodal,4,2.269
7,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,1,unimodal,4,2.406
7,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,1,unimodal,5,2.896
7,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,1,unimodal,5,4.577
7,tv_filler_1,,questionable,filler,tv,,,,,1,bimodal,4,2.184
7,tv_filler_2,,questionable,filler,tv,,,,,1,bimodal,2,7.135
7,tv_filler_3,,acceptable,filler,tv,,,,,1,bimodal,5,2.267
7,tv_filler_4,,acceptable,filler,tv,,,,,1,bimodal,5,3.324
7,tv_filler_5,,acceptable,filler,tv,,,,,1,bimodal,5,2.229
7,tv_filler_6,,unacceptable,filler,tv,,,,,1,bimodal,5,1.926
7,tv_filler_7,,unacceptable,filler,tv,,,,,1,bimodal,1,4.572
7,tv_filler_8,,unacceptable,filler,tv,,,,,1,bimodal,1,3.448
7,tv_filler_9,,unacceptable,filler,tv,,,,,1,bimodal,1,4.243
7,tv_filler_10,,acceptable,filler,tv,,,,,1,bimodal,5,1.796
7,ch_filler_1,,questionable,filler,couch,,,,,1,unimodal,5,4.227
7,ch_filler_2,,acceptable,filler,couch,,,,,1,unimodal,5,1.306
7,ch_filler_3,,acceptable,filler,couch,,,,,1,unimodal,5,3.795
7,ch_filler_4,,questionable,filler,couch,,,,,1,unimodal,4,2.657
7,ch_filler_5,,questionable,filler,couch,,,,,1,unimodal,4,2.818
7,ch_filler_6,,acceptable,filler,couch,,,,,1,unimodal,5,2.6
7,ch_filler_7,,unacceptable,filler,couch,,,,,1,unimodal,1,4.08
7,ch_filler_8,,unacceptable,filler,couch,,,,,1,unimodal,5,1.715
7,ch_filler_9,,acceptable,filler,couch,,,,,1,unimodal,5,2.66
7,ch_filler_10,,unacceptable,filler,couch,,,,,1,unimodal,1,2.603
8,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,1,bimodal,5,2.1
8,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,1,bimodal,5,3.509
8,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,1,bimodal,1,4.569
8,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,1,bimodal,5,2.693
8,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,1,bimodal,5,3.202
8,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,1,bimodal,5,4.251
8,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,1,bimodal,3,8.434
8,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,1,bimodal,5,6.736
8,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,1,unimodal,5,8.034
8,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,1,unimodal,5,3.139
8,ch_test_3,leather long,,test,couch,long,leather,absolute,second,1,unimodal,1,2.767
8,ch_test_4,long leather,,test,couch,long,leather,absolute,first,1,unimodal,5,3.102
8,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,1,unimodal,5,4.069
8,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,1,unimodal,5,2.78
8,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,1,unimodal,3,7.059
8,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,1,unimodal,4,3.448
8,tv_filler_1,,questionable,filler,tv,,,,,1,bimodal,5,6.175
8,tv_filler_2,,questionable,filler,tv,,,,,1,bimodal,2,12.641
8,tv_filler_3,,acceptable,filler,tv,,,,,1,bimodal,5,2.926
